service_id,stop_sequence,stop_name_raw,normalized_stop_name,canonical_place_id,canonical_name_en,source_id
SVC0001,1,Gabtoli,gabtoli,PLC0114,Gabtoli,SRC_BUS_GITHUB
SVC0001,2,Technical,technical,PLC0362,Technical,SRC_BUS_GITHUB
SVC0001,3,Ansar Camp,ansar camp,PLC0008,Ansar Camp,SRC_BUS_GITHUB
SVC0001,4,Mirpur 1,mirpur 1,PLC0239,Mirpur-1,SRC_BUS_GITHUB
SVC0001,5,Sony Cinema Hall,sony cinema hall,PLC0352,Soni Cinema Hall,SRC_BUS_GITHUB
SVC0001,6,Mirpur 2,mirpur 2,PLC0245,Mirpur-2,SRC_BUS_GITHUB
SVC0001,7,Mirpur 10,mirpur 10,PLC0240,Mirpur-10,SRC_BUS_GITHUB
SVC0001,8,Mirpur 11,mirpur 11,PLC0241,Mirpur-11,SRC_BUS_GITHUB
SVC0001,9,Purobi,purobi,PLC0302,Purbi,SRC_BUS_GITHUB
SVC0001,10,Kalshi,kalshi,PLC0161,Kalshi Morh,SRC_BUS_GITHUB
SVC0001,11,ECB Square,ecb square,,,SRC_BUS_GITHUB
SVC0001,12,MES,mes,,,SRC_BUS_GITHUB
SVC0001,13,Shewra,shewra,,,SRC_BUS_GITHUB
SVC0001,14,Kuril Bishwa Road,kuril bishwa road,PLC0203,Kuril Bishwa Road,SRC_BUS_GITHUB
SVC0001,15,Jamuna Future Park,jamuna future park,PLC0139,Jamuna Future Park,SRC_BUS_GITHUB
SVC0001,16,Bashundhara,bashundhara,PLC0045,Bashundhara,SRC_BUS_GITHUB
SVC0001,17,Nadda,nadda,,,SRC_BUS_GITHUB
SVC0001,18,Notun Bazar,notun bazar,PLC0284,Notun Bazar,SRC_BUS_GITHUB
SVC0001,19,Bashtola,bashtola,,,SRC_BUS_GITHUB
SVC0001,20,Shahjadpur,shahjadpur,,,SRC_BUS_GITHUB
SVC0001,21,Uttar Badda,uttar badda,PLC0376,Uttar Badda,SRC_BUS_GITHUB
SVC0001,22,Badda,badda,PLC0023,Badda,SRC_BUS_GITHUB
SVC0001,23,Madhya Badda,madhya badda,,,SRC_BUS_GITHUB
SVC0001,24,Merul,merul,,,SRC_BUS_GITHUB
SVC0001,25,Rampura Bridge,rampura bridge,PLC0314,Rampura Bridge,SRC_BUS_GITHUB
SVC0001,26,Banasree,banasree,,,SRC_BUS_GITHUB
SVC0001,27,Demra Staff Quarter,demra staff quarter,PLC0084,Demra Staff Quarter,SRC_BUS_GITHUB
SVC0002,1,Savar,savar,PLC0326,Savar,SRC_BUS_GITHUB
SVC0002,2,Hemayetpur,hemayetpur,PLC0132,Hemayetpur,SRC_BUS_GITHUB
SVC0002,3,Amin Bazar,amin bazar,PLC0006,Amin Bazar,SRC_BUS_GITHUB
SVC0002,4,Gabtoli,gabtoli,PLC0114,Gabtoli,SRC_BUS_GITHUB
SVC0002,5,Technical,technical,PLC0362,Technical,SRC_BUS_GITHUB
SVC0002,6,Kallyanpur,kalyanpur,PLC0163,Kalyanpur,SRC_BUS_GITHUB
SVC0002,7,Shyamoli,shyamoli,PLC0346,Shyamoli,SRC_BUS_GITHUB
SVC0002,8,Shishu Mela,shishu mela,PLC0343,Shishumela,SRC_BUS_GITHUB
SVC0002,9,Agargaon,agargaon,PLC0004,Agargaon,SRC_BUS_GITHUB
SVC0002,10,Zia Uddyan,zia uddyan,,,SRC_BUS_GITHUB
SVC0002,11,Bijoy Sarani,bijoy sarani,PLC0057,Bijay Smarani,SRC_BUS_GITHUB
SVC0002,12,Jahangir Gate,jahangir gate,,,SRC_BUS_GITHUB
SVC0002,13,Mohakhali,mohakhali,PLC0250,Mohakhali,SRC_BUS_GITHUB
SVC0002,14,Wireless,wireless,,,SRC_BUS_GITHUB
SVC0002,15,Gulshan 1,gulshan 1,PLC0129,Gulshan-1,SRC_BUS_GITHUB
SVC0002,16,Badda Link Road,badda link road,PLC0024,Badda Link Road,SRC_BUS_GITHUB
SVC0002,17,Bashtola,bashtola,,,SRC_BUS_GITHUB
SVC0002,18,Shahjadpur,shahjadpur,,,SRC_BUS_GITHUB
